id,calculated_host_listings_count,availability_365,host_response_rate_num,room_type_code,host_response_time_code,standardization_score,neighborhood_impact_score
26175983,10,0,,1,,1,1
26175986,10,0,,1,,1,1
26188730,2,177,100.0,2,0,-1,-1
26243676,1,0,,2,,1,1
26335476,1,0,,2,,0,0
26255789,1,263,,2,,1,1
26458850,1,0,,2,,0,0
26489519,1,365,,2,,-1,-1
26582414,1,2,80.0,2,0,-1,-1
26612366,1,89,,2,,0,0
26771703,1,0,0.0,2,3,0,0
27030906,1,349,100.0,2,0,1,1
27041926,1,268,100.0,2,0,-1,0
27385244,3,0,,3,,1,1
27385245,3,0,,3,,-1,-1
27385250,3,0,,3,,1,1
27593922,1,0,,2,,1,0
27416168,1,297,100.0,2,0,-1,-1
27534288,1,0,,3,,1,-1
27618424,1,291,40.0,2,3,-1,-1
27619402,2,0,60.0,2,2,-1,-1
27980135,2,173,,3,,-1,-1
27980145,2,173,,3,,0,0
27675799,1,0,,2,,1,1
27717265,4,271,100.0,3,2,1,1
27717267,4,232,100.0,3,2,-1,-1
27717270,4,330,100.0,3,2,0,0
27717274,4,344,100.0,3,2,1,1
28043062,1,0,100.0,2,0,1,1
28097256,1,295,100.0,2,2,1,1
28273412,4,225,100.0,2,0,1,1
28273467,4,234,100.0,2,0,1,1
28784098,2,0,,2,,1,1
29155878,1,0,,2,,0,0
29024694,4,50,,3,,0,0
29024697,4,52,,3,,-1,-1
29024700,4,50,,3,,0,0
29024703,4,52,,3,,-1,-1
29052649,1,0,,2,,1,1
29295556,1,0,,2,,-1,-1
29814060,1,31,100.0,2,0,1,1
29854959,1,87,,2,,-1,-1
29951698,1,0,,2,,-1,-1
29982991,1,363,,2,,0,0
30142503,1,0,,2,,0,0
30166721,1,0,,2,,-1,-1
30483712,2,202,100.0,2,0,1,1
30346555,1,0,,1,,0,0
30393336,6,222,100.0,2,0,-1,-1
30394569,6,236,100.0,2,0,0,0
30394812,6,255,100.0,2,0,0,-1
30422467,1,0,,2,,1,1
30734076,1,152,100.0,2,1,-1,-1
30739714,2,0,,2,,1,1
30782343,26,300,100.0,2,0,0,0
31203256,1,358,,2,,1,1
31405044,14,310,100.0,2,0,1,1
31414254,1,0,,2,,0,0
31540364,1,254,100.0,2,0,1,1
31579911,1,254,,2,,0,0
32279110,2,319,100.0,2,0,-1,-1
32336751,1,0,,2,,-1,-1
32348407,1,0,,2,,1,1
32355100,3,315,100.0,3,0,-1,-1
32355103,3,316,100.0,3,0,0,0
32100221,1,74,100.0,2,1,1,1
32355105,3,291,100.0,3,0,0,0
32536289,9,343,100.0,2,0,1,1
32639989,1,187,,2,,-1,-1
32951261,2,0,,2,,0,0
32958902,1,0,,2,,0,0
32963578,1,126,100.0,2,1,1,1
32972091,26,165,100.0,2,0,-1,-1
32977710,170,200,95.0,2,0,0,0
32741522,1,89,100.0,2,0,0,0
33009623,1,0,,2,,0,0
33031803,1,0,,2,,0,0
33092275,57,317,,2,,1,1
33327283,1,0,,2,,-1,-1
33103240,1,0,,2,,0,0
33516158,7,0,,3,,1,1
33516162,7,0,,3,,-1,-1
33516164,7,0,,3,,1,1
33516166,7,0,,3,,1,1
33516172,7,0,,3,,0,0
33516176,7,0,,3,,1,1
33516177,7,0,,3,,-1,-1
33468448,1,53,100.0,2,0,1,1
33684178,2,0,,2,,0,0
33696094,1,28,,2,,-1,-1
33709275,1,0,,1,,-1,-1
33713240,1,0,,2,,0,0
33921773,2,220,0.0,3,3,0,0
33921781,2,220,0.0,3,3,0,0
33840036,1,0,,2,,-1,-1
34112138,1,0,,2,,0,0
34326913,2,223,100.0,2,0,0,0
34333021,1,0,100.0,2,0,1,1
34246778,1,116,,2,,-1,-1
34508745,1,0,,2,,-1,-1
34295818,1,9,90.0,2,1,-1,-1
34419260,1,0,,2,,-1,-1
34435669,1,127,100.0,2,0,1,1
34461006,24,37,100.0,2,0,0,0
34715119,1,363,,2,,1,1
34926352,2,0,,3,,1,1
34926355,2,0,,3,,1,1
35159755,7,0,,3,,0,0
35159761,7,0,,3,,1,1
35159762,7,0,,3,,0,0
35159766,7,0,,3,,1,1
35159770,7,0,,3,,-1,-1
35159773,7,0,,3,,0,0
35186889,10,256,100.0,2,0,0,1
35147937,6,0,,3,,-1,-1
35147944,6,0,,3,,0,0
35147946,6,0,,3,,0,0
35196328,1,95,100.0,1,0,0,0
35147953,6,0,,3,,-1,-1
35147956,6,0,,3,,1,1
35020531,1,361,,2,,1,1
35381111,1,89,,2,,-1,-1
35286204,1,0,,2,,-1,-1
35295765,1,87,,2,,0,-1
35297767,1,0,100.0,2,0,0,0
35252063,2,53,100.0,2,0,-1,-1
35448573,7,0,,3,,0,0
35341061,1,0,100.0,2,0,0,0
35570479,1,0,,2,,1,0
35457466,2,301,100.0,2,0,1,1
35359292,7,0,,3,,0,0
35359295,7,0,,3,,1,1
35577757,1,87,,2,,1,1
35479359,7,0,,3,,1,1
35371490,6,0,,3,,1,1
35371493,6,0,,3,,1,1
35479494,7,0,,3,,-1,-1
35479496,7,0,,3,,0,0
35479659,7,0,,3,,1,1
35371500,6,0,,3,,1,1
35371512,6,0,,3,,1,1
35632139,1,179,0.0,2,3,1,1
35748350,2,294,90.0,2,0,0,0
35767920,1,0,,2,,-1,-1
35864902,1,363,100.0,2,1,-1,1
35778732,4,0,,3,,0,0
35997580,1,108,100.0,2,0,1,1
36012650,2,31,100.0,2,0,-1,-1
36014345,1,363,,2,,0,0
35896958,5,322,100.0,3,1,1,1
35896959,5,327,100.0,3,1,0,0
35896962,5,343,100.0,3,1,0,0
35896965,5,299,100.0,3,1,-1,-1
35896973,5,264,100.0,3,1,1,1
35898526,4,0,,3,,-1,1
35898528,4,0,,3,,0,0
35898532,4,0,,3,,-1,-1
35898534,4,0,,3,,1,1
35898741,4,115,100.0,3,0,0,-1
35898747,4,100,100.0,3,0,-1,0
36044757,2,3,100.0,2,0,-1,-1
35898750,4,116,100.0,3,0,1,1
35898752,4,145,100.0,3,0,-1,-1
35901807,1,0,,2,,-1,-1
36198729,3,183,100.0,2,0,0,0
35934794,1,0,,2,,1,-1
36248325,2,56,67.0,3,0,0,0
36248931,2,49,67.0,3,0,0,0
36404777,1,0,,2,,0,0
36265154,1,79,88.0,2,1,1,1
36187155,2,61,70.0,1,2,-1,1
36499737,14,44,100.0,2,0,-1,-1
36506551,1,327,100.0,2,0,-1,-1
36616470,1,7,100.0,2,0,0,-1
36660865,1,0,,2,,1,1
36683042,35,0,100.0,2,0,0,1
36590864,90,347,74.0,2,2,1,1
37046265,1,0,,2,,1,1
37108823,1,0,,3,,1,1
37342445,1,0,,1,,1,1
37797318,1,269,,2,,-1,-1
37547148,1,0,,2,,-1,-1
38310764,1,0,,2,,1,1
38068814,1,0,,2,,0,0
38178373,5,48,100.0,2,0,1,1
38398716,2,148,100.0,2,1,1,1
38507623,1,364,,2,,0,0
38512078,2,196,100.0,2,1,0,0
38259986,1,0,,2,,1,1
38271967,1,0,100.0,2,0,0,0
38749676,11,244,87.0,1,0,-1,-1
38892185,7,250,100.0,1,0,0,0
38894910,7,246,100.0,1,0,0,0
38896346,11,257,87.0,1,0,0,0
38897031,11,254,87.0,1,0,1,1
38897336,11,257,87.0,1,0,1,1
38897502,11,252,87.0,1,0,1,1
38901398,10,240,100.0,1,0,-1,-1
38901619,10,215,100.0,1,0,-1,-1
38902050,10,260,100.0,1,0,-1,0
38902134,10,261,100.0,1,0,1,1
38902296,10,215,100.0,1,0,-1,-1
38902399,10,259,100.0,1,0,1,1
38902485,10,250,100.0,1,0,-1,-1
38902606,10,237,100.0,1,0,-1,-1
38902774,10,248,100.0,1,0,0,0
38902986,7,249,100.0,1,0,0,0
38903067,7,237,100.0,1,0,-1,-1
38903200,7,252,100.0,1,0,1,1
38903329,7,234,100.0,1,0,0,0
38903421,7,259,100.0,1,0,1,-1
38903514,7,242,100.0,1,0,0,0
38777219,1,178,100.0,2,0,-1,-1
38796276,20,352,100.0,2,1,-1,-1
38738297,1,0,,2,,-1,-1
38738765,7,198,100.0,1,0,1,1
38886080,10,238,100.0,1,0,1,1
38889095,7,243,100.0,1,0,1,1
38891995,7,257,100.0,1,0,0,-1
39023672,14,301,100.0,2,0,-1,-1
39192519,2,0,100.0,2,0,-1,1
39127299,14,318,100.0,2,0,1,1
39240487,1,0,,2,,1,1
39391912,63,0,97.0,2,1,0,0
39407512,19,55,100.0,2,0,-1,-1
39768520,1,364,,2,,1,1
39542111,141,26,100.0,2,0,0,1
39542184,141,23,100.0,2,0,-1,-1
39670806,1,0,,2,,-1,-1
39556117,2,74,100.0,2,0,1,1
39557033,1,0,,2,,0,0
39574105,1,0,,2,,1,-1
39582227,1,0,,1,,0,0
39595113,19,206,98.0,2,0,-1,-1
40142183,1,0,,1,,0,0
40058475,2,269,,2,,-1,-1
40077962,141,12,100.0,2,0,1,1
40300804,1,319,100.0,2,1,-1,-1
40340450,1,353,100.0,2,0,-1,-1
40464181,1,0,,2,,0,0
40504454,1,83,,2,,-1,-1
40834703,1,1,,2,,-1,-1
40998677,1,0,,2,,-1,1
40741573,1,345,100.0,2,2,1,1
40858584,1,0,,2,,1,1
40900934,1,0,,2,,-1,-1
40912657,1,0,,2,,1,1
40916212,1,14,100.0,2,0,0,0
41331288,1,0,,2,,-1,-1
41676340,1,0,100.0,2,1,-1,-1
41495666,73,316,,2,,1,1
41697365,1,296,100.0,2,0,1,1
41547446,7,0,,1,,-1,-1
41550759,1,0,,2,,0,0
41573351,7,0,,2,,-1,-1
41574041,7,0,,1,,1,1
41576210,7,0,,1,,-1,-1
41576784,7,0,,1,,1,1
41577350,7,0,,1,,-1,-1
41578396,7,0,,1,,1,1
41767894,1,269,,2,,-1,0
41905152,2,365,0.0,2,3,0,0
42191976,6,253,100.0,2,0,-1,-1
42555402,6,238,100.0,2,0,0,0
42684342,102,179,53.0,2,2,-1,-1
42696951,1,255,,2,,0,-1
42604018,4,0,,1,,-1,-1
42449269,1,0,,2,,0,0
42463217,1,365,0.0,2,3,1,1
43344626,1,179,,2,,1,1
42806011,1,365,,2,,0,0
42830589,9,337,,1,,0,0
42830927,4,0,,1,,-1,-1
42831263,4,0,,1,,-1,-1
42831360,4,0,,1,,1,1
43408810,25,362,100.0,2,0,-1,-1
43124912,1,23,100.0,1,0,-1,-1
42831453,4,0,,1,,-1,-1
42872351,1,365,,2,,0,0
43438092,3,0,,2,,1,1
43447832,3,0,,2,,-1,1
42891730,184,328,100.0,2,0,0,0
43675393,1,342,100.0,2,1,0,0
43574265,1,363,,2,,-1,-1
43696956,4,152,100.0,2,0,0,0
43721748,9,27,80.0,2,0,1,1
43722295,1,246,,2,,1,1
43824720,57,244,98.0,2,1,1,1
